ID_wyscigu,ID_wariantu_klubu,Zajete_miejsce,Kary,Numer_lodki
95158478,49746069,1.0,0,0
10164333,49746069,2.0,0,0
78792350,49746069,7.0,0,0
49488836,49746069,2.0,0,0
94400432,49746069,2.0,0,0
20315379,49746069,7.0,0,0
20611740,49746069,1.0,0,0
28917660,49746069,1.0,0,0
58678967,49746069,7.0,0,0
93262944,49746069,1.0,0,0
22344339,49746069,1.0,0,0
93613839,49746069,7.0,0,0
96367843,49746069,1.0,0,0
82324271,49746069,1.0,0,0
11928401,49746069,7.0,0,0
27396304,49746069,1.0,0,0
74331278,49746069,2.0,0,0
47409268,49746069,7.0,0,0
95158478,77473926,7.0,0,0
10164333,77473926,1.0,0,0
78792350,77473926,1.0,0,0
49488836,77473926,1.0,0,0
94400432,77473926,1.0,0,0
20315379,77473926,7.0,0,0
20611740,77473926,2.0,0,0
28917660,77473926,7.0,0,0
58678967,77473926,1.0,0,0
93262944,77473926,7.0,0,0
22344339,77473926,5.0,0,0
93613839,77473926,1.0,0,0
96367843,77473926,3.0,0,0
82324271,77473926,2.0,0,0
11928401,77473926,7.0,0,0
27396304,77473926,3.0,0,0
74331278,77473926,7.0,0,0
47409268,77473926,7.0,1,0
95158478,64830853,5.0,0,0
10164333,64830853,7.0,0,0
78792350,64830853,3.0,0,0
49488836,64830853,3.0,0,0
94400432,64830853,3.0,0,0
20315379,64830853,7.0,0,0
20611740,64830853,7.0,0,0
28917660,64830853,2.0,0,0
58678967,64830853,4.0,0,0
93262944,64830853,4.0,0,0
22344339,64830853,7.0,0,0
93613839,64830853,2.0,0,0
96367843,64830853,2.0,0,0
82324271,64830853,5.0,0,0
11928401,64830853,7.0,0,0
27396304,64830853,7.0,0,0
74331278,64830853,1.0,0,0
47409268,64830853,3.0,0,0
95158478,66803490,2.0,0,0
10164333,66803490,7.0,0,0
78792350,66803490,4.0,0,0
49488836,66803490,5.0,0,0
94400432,66803490,7.0,0,0
20315379,66803490,1.0,0,0
20611740,66803490,7.0,0,0
28917660,66803490,3.0,0,0
58678967,66803490,2.0,0,0
93262944,66803490,5.0,0,0
22344339,66803490,7.0,0,0
93613839,66803490,4.0,0,0
96367843,66803490,5.0,0,0
82324271,66803490,7.0,0,0
11928401,66803490,1.0,0,0
27396304,66803490,7.0,0,0
74331278,66803490,5.0,0,0
47409268,66803490,1.0,0,0
95158478,20708529,4.0,0,0
10164333,20708529,7.0,0,0
78792350,20708529,2.0,0,0
49488836,20708529,7.0,0,0
94400432,20708529,7.0,1,0
20315379,20708529,2.0,0,0
20611740,20708529,7.0,0,0
28917660,20708529,4.0,0,0
58678967,20708529,5.0,0,0
93262944,20708529,3.0,0,0
22344339,20708529,7.0,0,0
93613839,20708529,6.0,0,0
96367843,20708529,7.0,0,0
82324271,20708529,3.0,0,0
11928401,20708529,2.0,0,0
27396304,20708529,7.0,0,0
74331278,20708529,3.0,0,0
47409268,20708529,5.0,0,0
95158478,97519162,7.0,0,0
10164333,97519162,4.0,0,0
78792350,97519162,5.0,0,0
49488836,97519162,4.0,0,0
94400432,97519162,7.0,0,0
20315379,97519162,4.0,0,0
20611740,97519162,3.0,0,0
28917660,97519162,7.0,0,0
58678967,97519162,6.0,0,0
93262944,97519162,7.0,0,0
22344339,97519162,3.0,0,0
93613839,97519162,3.0,0,0
96367843,97519162,7.0,1,0
82324271,97519162,7.0,0,0
11928401,97519162,4.0,0,0
27396304,97519162,2.0,0,0
74331278,97519162,7.0,0,0
47409268,97519162,2.0,0,0
95158478,68504006,3.0,0,0
10164333,68504006,3.0,0,0
78792350,68504006,7.0,0,0
49488836,68504006,6.0,0,0
94400432,68504006,7.0,0,0
20315379,68504006,3.0,0,0
20611740,68504006,4.0,0,0
28917660,68504006,6.0,0,0
58678967,68504006,7.0,0,0
93262944,68504006,2.0,0,0
22344339,68504006,4.0,0,0
93613839,68504006,7.0,0,0
96367843,68504006,4.0,0,0
82324271,68504006,7.0,0,0
11928401,68504006,3.0,0,0
27396304,68504006,4.0,0,0
